text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,label
In enginerring we trust issue ya kak🙏,1163,16.0,2025-09-20T00:42:10.000Z,shelaacitra,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6785369557471200257,7551965147830813461,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/61c1fbc5236a584524211e6e07615ae9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9e584cfd&x-expires=1765332000&x-signature=9tY8KOJiimVnGvtxsgg5HSRw2cI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Positif
"Wadoww, geser ke teknik mesin kak🙏🏼",153,,2025-09-20T00:50:08.000Z,bmstrr,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7132706165552940059,7551967243350147860,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/62beb33ef41390d9827674651c2f0084~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=33062cbc&x-expires=1765332000&x-signature=Dpd7oU0fJTi8ctUvpDeUd%2FwIleI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
engineer boys lek😎,417,1.0,2025-09-18T02:00:13.000Z,_nofamous,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7201504434144642050,7551243116533056264,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/14b569ecd634a46a069ec8e253adfa3b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9d5c45e6&x-expires=1765332000&x-signature=cthQbtoHngukThK4MjuyGX5qNAc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
Jelas lekkk,4,,2025-09-18T02:02:18.000Z,bmstrr,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7132706165552940059,7551243676379988757,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/62beb33ef41390d9827674651c2f0084~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=33062cbc&x-expires=1765332000&x-signature=Dpd7oU0fJTi8ctUvpDeUd%2FwIleI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
wong pkl mek turu gaya engineering boy,238,2.0,2025-09-18T02:11:04.000Z,bestiee_udin,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7050421661904995330,7551245954201305874,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2960367e39c6ba7892a194ca0b2dfa4d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7505a86f&x-expires=1765332000&x-signature=g2qfdAv434RPuX2OIr85DZWzc5c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
Amett mas MSIB,36,,2025-09-18T02:19:54.000Z,bmstrr,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7132706165552940059,7551248215564944149,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/62beb33ef41390d9827674651c2f0084~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=33062cbc&x-expires=1765332000&x-signature=Dpd7oU0fJTi8ctUvpDeUd%2FwIleI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
,1,0.0,2025-10-23T23:34:51.000Z,thllvc,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7235866846762353666,7564564706372846344,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c6c53b8892a1c0b03c4d1968d3e4da4a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=228128f0&x-expires=1765332000&x-signature=fkMPBc4FhMn5OUp6QR4CF03xLhY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
pengen sekolah lagii ya allahhh permudahlah 🥺 semoga bisa lanjutin ke pendidikan tinggi teknik elektro,1,1.0,2025-11-03T12:08:09.000Z,ecan453,https://www.tiktok.com/@bmstrr/video/7551238417321823544,6897233643501257730,7568469739527521032,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c7213a49a51e108adff9ebb821f95916~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d7906e87&x-expires=1765332000&x-signature=klynhhtKM72CVYg3ncORUbAhMP8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
yang ini red flag ga?,1,0.0,2025-10-27T21:53:23.000Z,blueeremnat_,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7247330690043462662,7566022077611164436,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/acda653048a9838d010c77eb79c08c50~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2c6bd2f3&x-expires=1765332000&x-signature=ysCJBk7ejfXwgF6ZVwrBo%2FfTC9Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
Salam dari chemical,1,0.0,2025-10-07T14:10:19.000Z,apestorrr,https://www.tiktok.com/@bmstrr/video/7551238417321823544,7500807234839282693,7558481934565982994,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/05b74b6f76e6bbf883c401c3dd3f0696~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cc768965&x-expires=1765332000&x-signature=%2FGRqxCOmfeFyndhvQKaPYXVDjqw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Netral
